brand_name,generic_name,num_mfr,spend_2019,claims_2019,benes_2019,unit_cost_2019,spend_2020,claims_2020,benes_2020,unit_cost_2020,spend_2021,claims_2021,benes_2021,unit_cost_2021,spend_2022,claims_2022,benes_2022,unit_cost_2022,spend_2023,claims_2023,benes_2023,unit_cost_2023,growth_rate
Clindamycin Phosphate-D5W,Clindamycin Phosphate/D5W,2,118713.9,999.0,470.0,0.2067570421,113355.44,933.0,422.0,0.2091759028,92863.6,709.0,345.0,0.2183506057,134241.13,966.0,412.0,0.218119623,83896.34,654,295.0,0.2162448445,0.0112798711
Clindamycin-0.9% NaCl,Clindamycin In 0.9 % Sod Chlor,1,23799.73,198.0,105.0,0.2097153913,28100.41,240.0,132.0,0.2298937518,24056.19,182.0,95.0,0.2272435719,23871.1,200.0,102.0,0.2383612347,56004.5,398,149.0,0.2212884828,0.0135195411
Clindamycin-Benzoyl Peroxide,Clindamycin Phos/Benzoyl Perox,8,3575076.41,17459.0,8398.0,4.1615078472,2642973.15,15925.0,8020.0,3.4021384393,2492534.14,18327.0,8785.0,2.892738654,2156402.85,18359.0,8773.0,2.5100228933,2074052.33,18303,8722.0,2.4651621217,-0.122698863
Clindesse,Clindamycin Phosphate,1,88002.79,515.0,397.0,24.98565216,72015.61,329.0,249.0,25.159170626,66494.57,322.0,225.0,26.018805502,53595.23,289.0,212.0,26.231024863,37814.31,194,154.0,28.487501883,0.0333344759
Clinimix,Amino Acid 8 % In D14w,1,,,,,,,,,15293.28,95.0,,1.0816380225,22715.52,40.0,,0.1130687904,23222.0,48,,0.1334513335,-0.648746641
Clinimix,Amino Acids 4.25 %/Dextrose 5%,1,,,,,3141.91,21.0,,0.0349101111,6075.28,28.0,13.0,0.0372716564,8536.06,34.0,15.0,0.0388002727,9062.05,33,19.0,0.040820045,0.0535150631
Clinimix,Amino Acids 4.25%/Dextrose 10%,1,,,,,13202.69,23.0,,1.6201607559,12846.53,39.0,,0.0851728116,,,,,3213.08,15,,0.0417283117,-0.704681331
Clinimix,Amino Acids 5 %/Dextrose 15 %,1,8434.17,33.0,,0.06747336,,,,,13278.92,26.0,,0.0867653747,,,,,19669.43,58,,0.1040672039,0.114410992
Clinimix,Amino Acids 5 %/Dextrose 20 %,1,9627.94,28.0,,0.0629277124,14242.47,37.0,,0.0845250445,6918.8,22.0,,0.0543717092,,,,,9566.99,30,,0.0976223469,0.1160324566
Clinimix E,Aa 5 %/Calcium/Lytes/Dext 20 %,1,67862.73,183.0,20.0,0.0579696325,53592.98,165.0,28.0,0.0590880505,28911.25,107.0,13.0,0.0760800345,19534.68,64.0,,0.0501403491,3229.54,21,,0.0529432787,-0.022419407
